Year,NOC,Host_City,
1896,GRE,Athens,
1900,FRA,Paris,
1904,USA,St. Louis,
1908,GBR,London,
1912,SWE,Stockholm,
1920,BEL,Antwerp,
1924,FRA,Paris,
1928,NLD,Amsterdam,
1932,USA,Los Angeles,
1936,DEU,Berlin,
1948,GBR,London,
1952,FIN,Helsinki,
1956,AUS,Melbourne,
1960,ITA,Rome,
1964,JPN,Tokyo,
1968,MEX,Mexico City,
1972,DEU,Munich,
1976,CAN,Montreal,
1980,URS,Moscow,
1984,USA,Los Angeles,
1988,KOR,Seoul,
1992,ESP,Barcelona,
1996,USA,Atlanta,
2000,AUS,Sydney,
2004,GRE,Athens,
2008,CHN,Beijing,
2012,GBR,London,
2016,BRA,Rio de Janeiro,
2020,JPN,Tokyo ,
2024,FRA,Paris,
2028,USA,Los Angeles,
2032,AUS,Brisbane,
