Rank,NOC,Gold,Silver,Bronze,Total,Year
1,265.0,11,7,2,20,1896
2,99.0,10,18,19,47,1896
3,69.0,6,5,2,13,1896
4,87.0,5,4,2,11,1896
5,92.0,2,3,2,7,1896
6,113.0,2,1,3,6,1896
7,15.0,2,1,2,5,1896
8,14.0,2,0,0,2,1896
9,72.0,1,2,3,6,1896
10,50.0,1,2,0,3,1896
11,162.0,1,0,1,2,1896
1,87.0,27,39,37,103,1900
2,265.0,19,14,15,48,1900
3,92.0,15,7,9,31,1900
4,162.0,8,5,6,19,1900
5,21.0,6,7,4,17,1900
6,50.0,6,2,1,9,1900
7,69.0,4,3,2,9,1900
8,124.0,3,2,0,5,1900
9,14.0,2,0,3,5,1900
10,72.0,1,3,2,6,1900
11,113.0,1,2,2,5,1900
12,65.0,1,1,0,2,1900
13,45.0,1,0,1,2,1900
14,80.0,1,0,0,1,1900
14,150.0,1,0,0,1,1900
16,15.0,0,3,3,6,1900
17,186.0,0,2,3,5,1900
17,178.0,0,2,3,5,1900
19,116.0,0,2,0,2,1900
20,32.0,0,1,1,2,1900
21,238.0,0,0,1,1,1900
1,265.0,76,78,77,231,1904
2,69.0,4,5,6,15,1904
3,45.0,4,1,1,6,1904
4,65.0,3,0,0,3,1904
5,113.0,2,1,1,4,1904
5,162.0,2,1,1,4,1904
7,186.0,2,0,0,2,1904
8,15.0,1,1,1,3,1904
9,92.0,1,1,0,2,1904
10,50.0,1,0,2,3,1904
11,99.0,1,0,1,2,1904
12,14.0,0,3,1,4,1904
13,87.0,0,1,0,1,1904
1,92.0,56,51,39,146,1908
2,265.0,23,12,12,47,1908
3,238.0,8,6,11,25,1908
4,87.0,5,5,9,19,1908
5,69.0,3,5,5,13,1908
6,113.0,3,4,2,9,1908
7,45.0,3,3,10,16,1908
8,186.0,2,3,3,8,1908
9,124.0,2,2,0,4,1908
10,21.0,1,5,2,8,1908
11,189.0,1,2,2,5,1908
12,212.0,1,2,0,3,1908
13,85.0,1,1,3,5,1908
14,279.0,1,1,0,2,1908
15,99.0,0,3,1,4,1908
16,72.0,0,2,3,5,1908
17,32.0,0,0,2,2,1908
17,178.0,0,0,2,2,1908
19,15.0,0,0,1,1,1908
1,265.0,26,19,19,64,1912
2,238.0,23,25,17,65,1912
3,92.0,10,15,16,41,1912
4,85.0,9,8,9,26,1912
5,87.0,7,4,3,14,1912
6,69.0,5,13,7,25,1912
7,279.0,4,2,0,6,1912
8,186.0,3,2,5,10,1912
9,45.0,3,2,3,8,1912
9,113.0,3,2,3,8,1912
11,124.0,3,1,2,6,1912
12,189.0,2,2,3,7,1912
13,21.0,2,1,3,6,1912
14,72.0,1,6,5,12,1912
15,99.0,1,0,1,2,1912
16,212.0,0,2,3,5,1912
17,15.0,0,2,2,4,1912
18,178.0,0,0,3,3,1912
1,265.0,41,27,27,95,1920
2,238.0,19,20,25,64,1920
3,85.0,15,10,9,34,1920
4,92.0,14,15,13,42,1920
5,21.0,14,11,11,36,1920
6,186.0,13,9,9,31,1920
7,124.0,13,5,5,23,1920
8,87.0,9,19,13,41,1920
9,178.0,4,2,5,11,1920
10,72.0,3,9,1,13,1920
11,279.0,3,4,3,10,1920
12,45.0,3,3,3,9,1920
13,50.0,2,2,7,11,1920
14,81.0,1,2,0,3,1920
15,35.0,1,1,1,3,1920
16,14.0,0,2,1,3,1920
17,129.0,0,2,0,2,1920
17,80.0,0,2,0,2,1920
19,99.0,0,1,0,1,1920
19,150.0,0,1,0,1,1920
21,242.0,0,0,2,2,1920
22,188.0,0,0,1,1,1920
1,265.0,45,27,27,99,1924
2,85.0,14,13,10,37,1924
3,87.0,13,15,10,38,1924
4,92.0,9,13,12,34,1924
5,124.0,8,3,5,16,1924
6,50.0,7,8,10,25,1924
7,186.0,5,2,3,10,1924
8,238.0,4,13,12,29,1924
9,178.0,4,1,5,10,1924
10,21.0,3,7,3,13,1924
11,14.0,3,1,2,6,1924
12,72.0,2,5,2,9,1924
13,113.0,2,3,4,9,1924
14,278.0,2,0,0,2,1924
15,242.0,1,4,5,10,1924
16,10.0,1,3,2,6,1924
17,81.0,1,1,4,6,1924
18,279.0,1,1,1,3,1924
19,264.0,1,0,0,1,1924
20,15.0,0,3,1,4,1924
20,45.0,0,3,1,4,1924
22,199.0,0,1,1,2,1924
23,112.0,0,0,1,1,1924
23,129.0,0,0,1,1,1924
23,188.0,0,0,1,1,1924
23,203.0,0,0,1,1,1924
23,210.0,0,0,1,1,1924
1,265.0,22,18,16,56,1928
2,69.0,10,7,14,31,1928
3,85.0,8,8,9,25,1928
4,238.0,7,6,12,25,1928
5,124.0,7,5,7,19,1928
6,50.0,7,4,4,15,1928
7,87.0,6,10,5,21,1928
8,178.0,6,9,4,19,1928
9,113.0,4,5,0,9,1928
10,45.0,4,4,7,15,1928
11,92.0,3,10,7,20,1928
12,10.0,3,3,1,7,1928
13,72.0,3,1,2,6,1928
14,242.0,2,5,2,9,1928
15,129.0,2,2,1,5,1928
16,81.0,2,1,2,5,1928
17,76.0,2,1,1,4,1928
18,15.0,2,0,1,3,1928
19,14.0,1,2,1,4,1928
19,186.0,1,2,1,4,1928
21,199.0,1,1,3,5,1928
21,278.0,1,1,3,5,1928
23,279.0,1,0,2,3,1928
24,116.0,1,0,0,1,1928
24,119.0,1,0,0,1,1928
24,188.0,1,0,0,1,1928
24,80.0,1,0,0,1,1928
24,264.0,1,0,0,1,1928
29,21.0,0,1,2,3,1928
30,52.0,0,1,0,1,1928
30,112.0,0,1,0,1,1928
32,195.0,0,0,1,1,1928
32,203.0,0,0,1,1,1928
1,265.0,44,36,30,110,1932
2,124.0,12,12,12,36,1932
3,87.0,11,5,4,20,1932
4,238.0,10,5,9,24,1932
5,129.0,7,7,4,18,1932
6,113.0,6,5,5,16,1932
7,97.0,5,12,7,24,1932
8,85.0,5,8,12,25,1932
9,92.0,5,7,5,17,1932
10,199.0,3,2,4,9,1932
11,14.0,3,1,1,5,1932
12,10.0,3,1,0,4,1932
13,45.0,2,5,9,16,1932
14,178.0,2,5,1,8,1932
15,211.0,2,0,3,5,1932
16,119.0,2,0,0,2,1932
17,242.0,1,3,2,6,1932
18,15.0,1,1,3,5,1932
19,116.0,1,0,0,1,1932
20,68.0,0,5,3,8,1932
21,159.0,0,2,0,2,1932
22,151.0,0,1,0,1,1932
22,188.0,0,1,0,1,1932
22,234.0,0,1,0,1,1932
25,195.0,0,0,3,3,1932
26,21.0,0,0,1,1,1932
26,80.0,0,0,1,1,1932
26,264.0,0,0,1,1,1932
1,69.0,38,31,32,101,1936
2,265.0,24,21,12,57,1936
3,113.0,10,1,5,16,1936
4,124.0,9,13,5,27,1936
5,85.0,8,6,6,20,1936
6,87.0,7,6,6,19,1936
7,238.0,6,5,10,21,1936
8,129.0,6,4,10,20,1936
9,178.0,6,4,7,17,1936
10,15.0,5,7,5,17,1936
11,50.0,4,9,5,18,1936
12,92.0,4,7,3,14,1936
13,242.0,3,5,1,9,1936
14,10.0,2,2,3,7,1936
14,81.0,2,2,3,7,1936
16,76.0,2,1,2,5,1936
17,45.0,1,3,5,9,1936
18,186.0,1,3,2,6,1936
19,254.0,1,0,1,2,1936
20,116.0,1,0,0,1,1936
20,188.0,1,0,0,1,1936
22,199.0,0,4,5,9,1936
23,72.0,0,2,3,5,1936
24,151.0,0,1,1,2,1936
25,210.0,0,1,0,1,1936
25,279.0,0,1,0,1,1936
25,278.0,0,1,0,1,1936
28,21.0,0,0,3,3,1936
28,159.0,0,0,3,3,1936
30,14.0,0,0,1,1,1936
30,195.0,0,0,1,1,1936
30,203.0,0,0,1,1,1936
1,265.0,38,27,19,84,1948
2,238.0,16,11,17,44,1948
3,87.0,10,6,13,29,1948
4,113.0,10,5,12,27,1948
5,124.0,8,11,8,27,1948
6,85.0,8,7,5,20,1948
7,254.0,6,4,2,12,1948
8,242.0,6,2,3,11,1948
9,50.0,5,10,5,20,1948
10,72.0,5,7,8,20,1948
11,178.0,5,2,9,16,1948
12,92.0,3,14,6,23,1948
13,10.0,3,3,1,7,1948
14,14.0,2,6,5,13,1948
15,21.0,2,2,3,7,1948
16,76.0,2,2,1,5,1948
17,159.0,2,1,2,5,1948
18,279.0,2,1,1,4,1948
19,186.0,1,3,3,7,1948
20,127.0,1,2,0,3,1948
21,15.0,1,0,3,4,1948
22,116.0,1,0,0,1,1948
22,194.0,1,0,0,1,1948
24,278.0,0,2,0,2,1948
25,45.0,0,1,2,3,1948
26,203.0,0,1,1,2,1948
26,264.0,0,1,1,2,1948
28,47.0,0,1,0,1,1948
28,65.0,0,1,0,1,1948
28,80.0,0,1,0,1,1948
28,252.0,0,1,0,1,1948
32,192.0,0,0,2,2,1948
32,134.0,0,0,2,2,1948
34,35.0,0,0,1,1,1948
34,118.0,0,0,1,1,1948
34,199.0,0,0,1,1,1948
34,201.0,0,0,1,1,1948
1,265.0,40,19,17,76,1952
2,262.0,22,30,19,71,1952
3,113.0,16,10,16,42,1952
4,238.0,12,13,10,35,1952
5,124.0,8,9,4,21,1952
